ID,Clause_id,Clause,Stakeholders,Comment,Label,Confidence
50,3.2,Affordable Care Act provides healthcare access.,Politician,this clause is beneficial,Error,0.0
51,1.3,Data protection law requires companies to protect user data.,Public,helps improve the system,Error,0.0
52,2.3,Cybersecurity law requires real-name registration online.,Industry,it will be beneficial to protect workers personal life,Error,0.0
53,3.3,Data protection law requires companies to protect user data.,Corporate,most of the people will suppoet it,positive,0.7782
54,4.1,Affordable Care Act provides healthcare access.,Politician,wellreceived by stakeholders,Error,0.0
55,4.2,Right to Information Act allows citizens to request government records.,Corporate,creats a lot negative impact on corporate employees personal life,negative,0.8944
56,1.1,Freedom of Speech protected under First Amendment.,Industry,people will take it positively,Error,0.0
57,2.1,Freedom of Speech protected under First Amendment.,Politician,many disagree with this,negative,0.6495
58,3.1,Cybersecurity law requires real-name registration online.,Politician,people strongly support this,Error,0.0
59,1.2,Data protection law requires companies to protect user data.,Industry,workers will be benificial,positive,0.5408
60,2.2,Environmental Protection Act mandates pollution control.,Industry,wellreceived by stakeholders,Error,0.0
61,3.2,Health and Safety at Work Act ensures workplace safety.,Politician,creates additional burden,negative,0.6254
62,1.3,Anti-Discrimination laws prohibit bias in employment.,Corporate,it brings negative impact,negative,0.9378
63,2.3,Consumer Protection Act safeguards buyers from unfair practices.,Public,helps improve the system,Error,0.0
64,3.3,Freedom of Speech protected under First Amendment.,Corporate,tv channels will misuse on it,positive,0.7475
65,4.1,Data protection law requires companies to protect user data.,Politician,this clause is problematic,negative,0.9434
66,4.2,Consumer Protection Act safeguards buyers from unfair practices.,Industry,it brings positive change,Error,0.0
67,1.1,Data protection law requires companies to protect user data.,Public,this clause is positive,Error,0.0
68,2.1,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,it is not a blessing for consumers,negative,0.8212
69,3.1,Consumer Protection Act safeguards buyers from unfair practices.,Politician,creates additional burden,negative,0.6254
70,1.2,Data protection law requires companies to protect user data.,Politician,worst decision,negative,0.906
71,2.2,Environmental Protection Act mandates pollution control.,Public,no strong reaction,positive,0.6694
72,3.2,Health and Safety at Work Act ensures workplace safety.,Public,wellreceived by stakeholders,Error,0.0
73,1.3,Freedom of Speech protected under First Amendment.,Industry,people will not support this,negative,0.9572
74,2.3,Affordable Care Act provides healthcare access.,Politician,not wellreceived by stakeholders,negative,0.8315
75,3.3,Data protection law requires companies to protect user data.,Industry,strongly negative impact on it,negative,0.8469
76,4.1,Minimum wage laws ensure fair pay for workers.,Politician,we expect positive impact from this clause,Error,0.0
77,4.2,Affordable Care Act provides healthcare access.,Public,it brings challenges,Error,0.0
78,1.1,Affordable Care Act provides healthcare access.,Industry,this clause is problematic,negative,0.9434
79,2.1,Health and Safety at Work Act ensures workplace safety.,Corporate,many people will hate it,negative,0.9059
80,3.1,Minimum wage laws ensure fair pay for workers.,Politician,people generally support this,positive,0.5355
81,1.2,Consumer Protection Act safeguards buyers from unfair practices.,Politician,wellreceived by stakeholders,Error,0.0
82,2.2,Affordable Care Act provides healthcare access.,Public,it will bring progressive impact on our society,Error,0.0
83,3.2,Environmental Protection Act mandates pollution control.,Public,it brings positive change,Error,0.0
84,1.3,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,people strongly support this,Error,0.0
85,2.3,Health and Safety at Work Act ensures workplace safety.,Public,this clause is beneficial,Error,0.0
86,3.3,Data protection law requires companies to protect user data.,Industry,for society progress it is very problematic,negative,0.892
87,4.1,Data protection law requires companies to protect user data.,Politician,helps improve the system,Error,0.0
88,4.2,Data protection law requires companies to protect user data.,Industry,this clause is harmful,negative,0.9576
89,1.1,Health and Safety at Work Act ensures workplace safety.,Industry,it brings negative impact on human health,negative,0.9579
90,2.1,Environmental Protection Act mandates pollution control.,Politician,creates additional burden,negative,0.6254
91,3.1,Freedom of Speech protected under First Amendment.,Public,it brings positive change,Error,0.0
92,1.2,Environmental Protection Act mandates pollution control.,Corporate,bad decision,negative,0.7747
93,2.2,Health and Safety at Work Act ensures workplace safety.,Public,we expect progressive growth from this,Error,0.0
94,3.2,Consumer Protection Act safeguards buyers from unfair practices.,Corporate,many disagree with this,negative,0.6495
95,1.3,Affordable Care Act provides healthcare access.,Industry,it is a bad decision,negative,0.8937
96,2.3,Minimum wage laws ensure fair pay for workers.,Politician,workers will not get their exact payment,negative,0.6333
97,3.3,Cybersecurity law requires real-name registration online.,Public,this clause is beneficial,Error,0.0
98,4.1,Freedom of Speech protected under First Amendment.,Corporate,social media will be full of adult contents,positive,0.6911
99,4.2,Freedom of Speech protected under First Amendment.,Corporate,tv channels will misuse on it,positive,0.7475
100,1.1,Consumer Protection Act safeguards buyers from unfair practices.,Industry,bad impact on economy of country,negative,0.8414
